ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
1098031901;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031902;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031902;;;;;;;;Hahaha, nieźle wiedźminie. Pokazałeś tym dziurawym workom na chuje, kto tu jest, kurwa, samcem alfa.;;;;;;Hahaha, nice one witcher. It shows who's the professional around here.;;;;
1098031903;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031904;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031904;;;;;;;;W rzeczy samej, to wszakże Gwynbleidd. Dziękujemy ci za pomoc.;;;;;;Indeed, and the White Wolf himself at that. Thank you for your help.;;;;
1098031905;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031906;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;GRLT_ELF_1098031906;;;;;;;;Czy my się już kiedyś spotkaliśmy?;;;;;;Have we met before?;;;;
1098031907;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;0;;;;;;Witcher 2 reference;;;;
1098031908;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031908;;;;;;;;Nie bezpośrednio, ale to dzięki tobie udało nam się uciec z Flotsam, kiedy ten drań Loredo był zajęty tobą i twoimi przyjaciółmi. Nigdy nie miałem okazji podziękować ci osobiście.;;;;;;Not directly, but ye did give us a chance to escape Flotsam when that bastard Loredo was preoccupied with you and your friends. Never had the chance to thank you directly.;;;;
1098031909;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031910;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;GRLT_ELF_1098031910;;;;;;;;Nie ma takiej potrzeby. Cieszę się, że mogłem pomóć.;;;;;;No need. Glad to know I made a difference.;;;;
1098031911;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031912;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031912;;;;;;;;Szlachetny, jak powiadają... Zatem twoja legenda ma w sobie ziarno prawdy.;;;;;;Noble to the end, so the legends are true, despite the rough exterior. Hah.;;;;
1098031913;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031914;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;GRLT_ELF_1098031914;;;;;;;;Powiedzmy... Jesteście miejscowi, czy napadli na was przypadkiem?;;;;;;I suppose. Say, you live here or just happen to be harassed midday around these parts?;;;;
1098031915;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031916;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031916;;;;;;;;Tak, mieszkamy dwa domy stąd. Czemu pytasz?;;;;;;Aye, live two houses over. Why do ya ask?;;;;
1098031917;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031918;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;GRLT_ELF_1098031918;;;;;;;;Szukam kogoś. Niewiasty imieniem Carilla. Miała się zatrzymać w okolicy Zamurza.;;;;;;Looking for someone. A woman by the name of Carilla. She is supposed to be staying here in Farcorners.;;;;
1098031919;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031920;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031920;;;;;;;;Ach tak, niedawno przybyła, taka blondynka. Dobrze trafiłeś, bo akurat stoimy obok jej domu, ale ostatnio jest w nim bardzo cicho.;;;;;;Ah yes, the new arrival, the blonde girl. We are standing right beside her house in truth, thought it has been awfully quiet as of late.;;;;
1098031921;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031922;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031922;;;;;;;;Tak, kurwa, piękna dziewucha. Pomyślałem nawet, że chętnie bym ją wychędożył, gdyby tylko okazała zainteresowanie.;;;;;;Aye, beautiful lass she is. Thought to meself - would gladly give her a good rump if she was up for it.;;;;
1098031923;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031924;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031924;;;;;;;;Ale kutas mi szybko opadł - jeszcze by mnie tam zadeptali w tej kolejce, kilka dni temu. Za młodu pewnie utrzymałbym tempo w takiej grupowej zabawie, ale lata świetności już, kurwa, za mną. Mówię ci, pełno tu było chłopów tego wieczoru.;;;;;;Changed my mind from what I saw a few nights ago though, don't really think I am up for one of those group sessions she offered. Quite a lot of folk were lined up at her door that evening. Ghastly job, don't wanna know the rest.;;;;
1098031925;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031926;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;GRLT_ELF_1098031926;;;;;;;;Eee, obawiam się, że to nie było to, co myślisz. Została wtedy porwana.;;;;;;Hmm, fear it wasn't what you think... She was kidnapped.;;;;
1098031927;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031928;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031928;;;;;;;;Bogowie... To straszne.;;;;;;Oh my... That is terrible.;;;;
1098031929;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031930;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;GRLT_ELF_1098031930;;;;;;;;Taa, dlatego muszę się tu rozejrzeć.;;;;;;Yeah, need to have a look around.;;;;
1098031931;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031932;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031932;;;;;;;;Powodzenia, Wilku. Znajdź blondynę i pokaż tym sukinsynom, gdzie raki zimują.;;;;;;Well, good luck to ya, Wolf. Show 'em the works.;;;;
1098031933;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031934;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031934;;;;;;;;Dokładnie tak, mistrzu. Jeszcze raz ci dziękujemy.;;;;;;Indeed, master witcher. And thank you once more.;;;;
1098031935;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031936;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031936;;;;;;;;Proszę was, dobrzy panowie...;;;;;;Please good sirs...;;;;
1098031937;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031938;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;NCIM1_ELF_1098031938;;;;;;;;Morda w kubeł, chyba że chcesz żebym ci przyciął te pierdolone uszka?;;;;;;Shut yer trap, or you want me to round your ears with me knife?;;;;
1098031939;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031940;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;DWR1_ELF_1098031940;;;;;;;;Chuje...;;;;;;Bastards.;;;;
1098031941;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031942;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;NCIM3_ELF_1098031942;;;;;;;;A tobie tę brudkę, karle? Z chęcią pomożemy. Ręka mi się trzęsie od wczorajszej gorzałki, więc mogę ci lekko pokaleczyć szyję.;;;;;;Your beard needs trimming, midget. We can do it for ye. Don't have a steady hand though, might get a few cuts on yer neck.;;;;
1098031943;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031944;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\elf_dwarf_bullies_scene.w2scene""";Line text;ELF1_ELF_1098031944;;;;;;;;Bogowie...;;;;;;Gods...;;;;
1098031945;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031946;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031946;;;;;;;;Raporty, listy. Nie próżnowała.;;;;;;Reports, letters. She sure was busy.;;;;
1098031947;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031948;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031948;;;;;;;;Amulet Melitele? Dziwne. Po co miałby go przy sobie emisariusz z Nilfgaardu?;;;;;;An amulet of Melitele? Odd. A nilfgaardian emissary carrying this?;;;;
1098031949;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031950;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031950;;;;;;;;Lustro. Z tyłu ma jakiś mały emblemat. Dziwne, to herb Ellander. Wygląda na robotę Nordlingów.;;;;;;A mirror. Has some sort of a small emblem engraved on its back. Strange, it's Ellander's coat of arms. Craftsmanship is most definitely northern as well.;;;;
1098031951;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031952;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031952;;;;;;;;Po śladach walki można wnieść, że została porwana. Nie przejrzeli rzeczy, więc nie chcieli jej okraść, przyszli tu w innym celu. Najdziwniejsze jednak są te przedmioty. Trzeba to mieć na uwadze.;;;;;;So, a struggle was definitely present, obvious enough, she was kidnapped. Didn't bother going through her belongings though. Weren't here to rob her, they had a clear motive. Strangest part are these items. Should keep this in mind.;;;;
1098031953;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031954;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031954;;;;;;;;Mała figurka Melitele. Ciekawe.;;;;;;Small statue of Melitele. Curious.;;;;
1098031955;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031956;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031956;;;;;;;;Oznaki walki.;;;;;;Signs of a struggle.;;;;
1098031957;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031958;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\priestess_house_clues.w2scene""";Line text;GRLT_PRIESTESS_1098031958;;;;;;;;Wywlekli ją.;;;;;;Dragged her out.;;;;
1098031959;"""CEntityTemplate """"dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\entities\dlc_cult_02_mirror_clue.w2ent""""""";Entity display name;;;;;;;;;#N/A;;;;;;;;;;
1098031960;"""CEntityTemplate """"dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\entities\dlc_cult_02_priestess_notes_clue.w2ent""""""";Entity display name;;;;;;;;;#N/A;;;;;;;;;;
1098031961;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031962;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line text;GRLT_JOURNAL_1098031962;;;;;;;;Ten dywan był niedawno przesuwany.;;;;;;This carpet's been moved recently.;;;;
1098031963;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031964;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line text;GRLT_JOURNAL_1098031964;;;;;;;;Chyba czas na wiosenne porządki.;;;;;;Guess I should do some spring cleaning.;;;;
1098031965;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031966;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line text;GRLT_JOURNAL_1098031966;;;;;;;;Hmm, a co to? Coś jest pod podłogą.;;;;;;Hmm, what's this? Something under the floor planks.;;;;
1098031967;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031968;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line text;GRLT_JOURNAL_1098031968;;;;;;;;Dziennik Carilli.;;;;;;Carilla's diary.;;;;
1098031969;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031970;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line text;GRLT_JOURNAL_1098031970;;;;;;;;Hmm, to ciekawe, wpisy nie są jednolite. Od połowy wyglądają, jakby pisały je dwie różne osoby.;;;;;;Hmm, interesting, its as if it's split in half. Entries at the start read differently than those after the the middle of the book. As if a completely different person's been writing those.;;;;
1098031971;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031972;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\journal_clue_scene.w2scene""";Line text;GRLT_JOURNAL_1098031972;;;;;;;;Coś tu nie gra.;;;;;;Something doesn't add up.;;;;
1098031973;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Comment;;;;;;;;;0;;;;;;Geralt and Janus scene. Geralt emerges from Carilla's house relaxed. Suddenly tenses up and sniffs the air.;;;;
1098031974;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;0;;;;;;Janus mocking Geralt;;;;
1098031975;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;NBEG3_DOPPLER_1098031975;;;;;;;;Niuch, niuch, czyżbyśmy zbaczali ze ścieżki? Wilczek węszy tam, gdzie nie powinien? Hehe...;;;;;;Tsk tsk, straying from the task now, are we? Sniffing around where you shouldn't? Hehe.;;;;
1098031976;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031977;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;GRLT_DOPPLER_1098031977;;;;;;;;Przyda mi się każdy trop. To problem?;;;;;;Need all the leads I can get. What's the problem?;;;;
1098031978;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031979;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;NBEG3_DOPPLER_1098031979;;;;;;;;Problem? O nie, żaden problem! Tyle tylko, że otrzymałeś wyraźne instrukcje, których, jak widać, nie wykonujesz.;;;;;;Problem? Oh no problem, no problem at all! It's just that, oh well, you were given clear instructions and refused to follow them.;;;;
1098031980;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031981;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;NBEG3_DOPPLER_1098031981;;;;;;;;Kto wie, może nie powinno cię tu być? Hehe.;;;;;;Maybe you shouldn't have come here. Hehe.;;;;
1098031982;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031983;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;GRLT_DOPPLER_1098031983;;;;;;;;Daj mi pracować w spokoju... Wystarczy, że wszędzie za mną łazisz. Nie potrzebuję twoich złotych myśli. Możesz lecieć poskarżyć się szefowi.;;;;;;Get away from me. It's enough having you follow me around, don't need you questioning my methods. If it's such an issue, run back to your boss and tell him.;;;;
1098031984;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031985;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Choice line;;;;;;;;;Wystarczy zagadek, powiedz o co ci chodzi.;;;;;;Enough riddles. Tell me what's your deal.;;;;
1098031986;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031987;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Choice line;;;;;;;;;Odczep się, drażnisz mnie.;;;;;;Get lost. You irritate me.;;;;
1098031988;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031989;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;GRLT_DOPPLER_1098031989;;;;;;;;Dość tych bredni, mów o co w tym wszystkim chodzi.;;;;;;Enough bullshit. Tell me what's this really about.;;;;
1098031990;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031991;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;NBEG3_DOPPLER_1098031991;;;;;;;;Hmm? Ładnie machasz rączkami, wiedźminie. To jakieś kalambury? Mam zgadywać? A może próbujesz rzucić jakieś potężne zaklęcie? Hehe.;;;;;;Hmm? Fancy hands swipes, witcher. Are we playing a game? Shall I mimic a blessing gesture? Oh, or are you trying to cast a spell? What kind? Hehe.;;;;
1098031992;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031993;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;GRLT_DOPPLER_1098031993;;;;;;;;Nie chce mi się już oglądać twojej gęby. Mam robotę do wykonania.;;;;;;Get lost. Don't wanna look at your face any longer. Got work to do.;;;;
1098031994;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031995;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;NBEG3_DOPPLER_1098031995;;;;;;;;Idę już sobie, idę... Pójdę hen daleko, ale na tyle blisko, by dalej cię mieć na oku.;;;;;;I'm going, I'm going. Will go faaar away. Far away that I can still see you though. Hehe.;;;;
1098031996;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098031997;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;GRLT_DOPPLER_1098031997;;;;;;;;Hmm...;;;;;;Hmm...;;;;
1098031998;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;0;;;;;;a bit confused, almost like talking to himself;;;;
1098031999;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;GRLT_DOPPLER_1098031999;;;;;;;;Hmm... Nie wyglądasz na osobę o silnym umyśle.;;;;;;Hmm... You don't seem like the type to have a resilient mind.;;;;
1098032000;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032001;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\doppler_scene_after_house.w2scene""";Line text;NBEG3_DOPPLER_1098032001;;;;;;;;Zupełnie nie wiem o czym bełkoczesz. Umysł, siła... To jakiś test? Czyli jednak - zgadywanka!;;;;;;I have absolutely no idea what you are mumbling on about. Mind, resilience, am I being tested? So this is a game!;;;;
1098032002;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\tracking_cult_gps.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098032003;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\tracking_cult_gps.w2scene""";Line text;GRLT_TRACKING_1098032003;;;;;;;;Tropy. Odciski stóp i ślad po wozie. Tylko który jest właściwy?;;;;;;Tracks. Footprints and a wagon trail. Which one is the right one though?;;;;
1098032004;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\tracking_cult_gps.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
